Label,Source,Target
0,39,378
1,105,225
2,150,110
3,89,437
4,89,253
5,470,32
6,150,353
7,77,386
8,77,35
9,77,35
10,77,469
11,77,469
12,77,420
13,150,183
14,77,336
15,150,420
16,150,336
17,150,336
18,150,336
19,150,336
20,150,336
21,150,424
22,150,336
23,150,336
24,150,425
25,150,425
26,150,424
27,150,336
28,150,336
29,150,336
30,150,336
31,150,336
32,150,35
33,150,336
34,150,108
35,150,108
36,150,35
37,150,108
38,150,108
39,150,108
40,150,108
41,150,108
42,150,149
43,150,424
44,150,317
45,150,424
46,150,424
47,150,317
48,150,317
49,150,469
50,150,317
51,150,317
52,77,317
53,77,317
54,77,317
55,77,317
56,77,317
57,152,110
58,77,35
59,152,469
60,77,317
61,77,317
62,77,317
63,77,317
64,77,317
65,77,317
66,77,317
67,77,317
68,77,317
69,77,469
70,77,469
71,77,469
72,77,35
73,77,469
74,77,89
75,39,378
76,105,225
77,150,459
78,89,226
79,152,227
80,89,112
81,152,298
82,152,296
83,152,35
84,77,469
85,77,469
86,77,469
87,77,469
88,150,469
89,150,469
90,150,469
91,150,469
92,77,469
93,150,469
94,150,469
95,152,469
96,89,469
97,89,469
98,89,469
99,89,189
100,89,317
101,89,317
102,89,469
103,89,317
104,89,469
105,150,469
106,150,469
107,89,469
108,150,469
109,77,186
110,89,186
111,152,186
112,152,186
113,89,469
114,152,469
115,89,469
116,89,469
117,89,317
118,89,317
119,89,317
120,89,424
121,89,424
122,89,469
123,89,217
124,89,336
125,89,336
126,89,336
127,89,336
128,89,336
129,89,336
130,89,336
131,89,336
132,89,336
133,89,336
134,152,336
135,152,307
136,152,307
137,152,307
138,152,336
139,77,336
140,77,336
141,77,424
142,77,336
143,89,424
144,150,424
145,150,424
146,77,336
147,77,424
148,152,336
149,152,336
150,39,378
151,105,225
152,150,459
153,152,226
154,77,184
155,470,284
156,150,88
157,89,149
158,150,403
159,150,230
160,412,230
161,412,484
162,412,486
163,412,189
164,412,189
165,89,189
166,150,189
167,89,189
168,89,469
169,89,469
170,89,469
171,89,469
172,150,469
173,89,469
174,77,469
175,152,469
176,152,469
177,77,35
178,152,35
179,77,35
180,152,35
181,152,35
182,152,35
183,152,35
184,152,35
185,152,35
186,152,35
187,152,110
188,152,35
189,152,387
190,152,387
191,152,110
192,152,110
193,152,58
194,152,58
195,89,58
196,46,110
197,89,110
198,150,387
199,470,35
200,150,469
201,150,469
202,470,317
203,150,110
204,470,469
205,150,110
206,150,469
207,150,469
208,150,469
209,150,317
210,150,317
211,150,469
212,150,469
213,150,469
214,150,317
215,150,469
216,150,469
217,150,317
218,470,317
219,77,469
220,77,469
221,77,469
222,77,469
223,77,469
224,77,469
225,269,378
226,105,225
227,150,35
228,152,420
229,152,427
230,470,111
231,77,298
232,396,35
233,77,35
234,77,469
235,77,469
236,77,469
237,77,469
238,77,469
239,77,469
240,77,469
241,77,469
242,77,35
243,77,469
244,77,469
245,77,35
246,77,110
247,77,110
248,77,317
249,77,469
250,77,317
251,77,469
252,77,469
253,77,469
254,77,469
255,150,469
256,77,89
257,77,89
258,77,89
259,77,296
260,77,485
261,150,173
262,150,173
263,150,173
264,77,173
265,150,173
266,150,420
267,150,121
268,150,121
269,150,121
270,150,420
271,150,317
272,150,317
273,150,420
274,150,469
275,150,469
276,150,469
277,150,469
278,150,469
279,150,469
280,150,469
281,150,469
282,150,469
283,150,469
284,150,469
285,150,469
286,150,469
287,77,469
288,150,469
289,77,317
290,77,469
291,150,317
292,150,317
293,77,469
294,150,469
295,150,469
296,150,469
297,150,469
298,150,469
299,77,469
300,269,378
301,105,225
302,150,110
303,152,333
304,77,179
305,470,173
306,77,298
307,77,35
308,150,35
309,77,35
310,77,469
311,77,469
312,77,189
313,77,189
314,77,469
315,77,189
