Label,Source,Target
0,234,199
1,199,1175
2,199,649
3,199,372
4,199,1074
5,1260,199
6,569,199
7,1175,199
8,199,1008
9,199,749
10,199,988
11,649,199
12,372,199
13,1008,199
14,199,712
15,988,199
16,199,589
17,199,1382
18,199,1001
19,199,1375
20,199,989
21,199,1526
22,712,199
23,199,763
24,989,199
25,199,977
26,1001,199
27,1375,199
28,763,199
29,199,993
30,977,199
31,199,234
32,1526,199
33,199,1175
34,199,1260
35,199,649
36,199,569
37,199,372
38,1175,199
39,234,199
40,199,1074
41,1260,199
42,199,749
43,649,199
44,569,199
45,372,199
46,199,988
47,199,1382
48,199,1008
49,199,589
50,199,712
51,988,199
52,1008,199
53,199,1001
54,199,763
55,199,989
56,199,1375
57,712,199
58,199,977
59,199,1526
60,989,199
61,199,993
62,763,199
63,1375,199
64,1001,199
65,199,1175
66,1526,199
67,977,199
68,1175,199
69,199,234
70,199,649
71,199,372
72,199,1260
73,199,1074
74,234,199
75,1526,283
76,1526,1414
77,1526,1407
78,1526,544
79,1526,603
80,1526,153
81,1526,603
82,1526,766
83,1526,603
84,1526,1407
85,1526,626
86,1526,603
87,1526,153
88,1526,1171
89,1526,603
90,1526,672
91,1526,192
92,1526,535
93,1526,283
94,1526,1391
95,1526,866
96,1526,603
97,1526,106
98,1526,603
99,1526,866
100,1526,153
101,1526,544
102,1526,603
103,1526,1119
104,1526,153
105,1526,603
106,1526,1174
107,1526,153
108,1526,931
109,1526,603
110,1526,917
111,1526,153
112,1526,603
113,1526,1521
114,1526,153
115,1526,266
116,1526,603
117,1526,153
118,1526,544
119,1526,603
120,1526,535
121,1526,544
122,1526,603
123,1526,1562
124,1526,403
125,1526,1057
126,1526,283
127,1526,1127
128,1526,283
129,1526,603
130,1526,860
131,1526,339
132,1526,603
133,1526,153
134,1526,603
135,1526,153
136,1526,560
137,1526,669
138,1526,153
139,1526,969
140,1526,153
141,1526,603
142,1526,685
143,1526,328
144,1526,283
145,1526,615
146,1526,153
147,1526,603
148,1526,544
149,1526,60
150,569,915
151,569,567
152,569,1169
153,569,1393
154,569,1248
155,569,797
156,569,1244
157,569,17
158,569,326
159,569,1318
160,569,283
161,569,1461
162,569,283
163,569,709
164,569,783
165,569,1564
166,569,357
167,569,823
168,569,1318
169,569,544
170,569,108
171,569,603
172,569,927
173,569,1264
174,569,1402
175,569,886
176,569,783
177,569,1438
178,569,1248
179,569,283
180,569,487
181,569,981
182,569,544
183,569,603
184,569,1265
185,569,357
186,569,780
187,569,264
188,569,1198
189,569,1068
190,569,543
191,569,346
192,569,283
193,569,1318
194,569,1303
195,569,294
196,569,972
197,569,936
198,569,1133
199,569,603
200,569,635
201,569,710
202,569,1318
203,569,884
204,569,79
205,569,657
206,569,1367
207,569,1349
208,569,603
209,569,560
210,569,685
211,569,283
212,569,605
213,569,915
214,569,357
215,569,757
216,569,1255
217,569,1133
218,569,141
219,569,603
220,569,1019
221,569,1476
222,569,1318
223,569,1244
224,569,283
225,1074,199
226,993,199
227,749,199
228,589,199
229,1382,199
230,1074,199
231,993,199
232,749,199
233,589,199
234,1382,199
235,1074,199
236,589,199
237,993,199
238,749,199
239,1382,199
240,589,199
241,1074,199
242,749,199
243,1382,199
244,589,199
245,1074,199
246,993,199
247,1382,199
248,749,199
249,589,199
250,1074,199
251,1382,199
252,993,199
253,749,199
254,589,199
255,1382,199
256,1074,199
257,993,199
258,749,199
259,589,199
260,1382,199
261,993,199
262,1074,199
263,749,199
264,589,199
265,1382,199
266,993,199
267,1074,199
268,589,199
269,749,199
270,1382,199
271,589,199
272,1074,199
273,749,199
274,1382,199
275,589,199
276,993,199
277,1074,199
278,1382,199
279,749,199
280,589,199
281,993,199
282,1074,199
283,1382,199
284,749,199
285,589,199
286,993,199
287,1382,199
288,1074,199
289,749,199
290,589,199
291,1382,199
292,993,199
293,1074,199
294,589,199
295,749,199
296,1382,199
297,993,199
298,1074,199
299,589,199
300,1074,199
301,1382,199
302,589,199
303,993,199
304,749,199
305,1074,199
306,589,199
307,1382,199
308,993,199
309,749,199
310,1074,199
311,1382,199
312,993,199
313,749,199
314,1382,199
315,589,199
316,1074,199
317,1382,199
318,589,199
319,993,199
320,749,199
321,1074,199
322,589,199
323,1382,199
324,993,199
325,749,199
326,1074,199
327,589,199
328,1382,199
329,993,199
330,749,199
331,1074,199
332,589,199
333,1382,199
334,993,199
335,749,199
336,1074,199
337,589,199
338,1382,199
339,749,199
340,993,199
341,1074,199
342,589,199
343,1382,199
344,749,199
345,993,199
346,589,199
347,1382,199
348,1074,199
349,749,199
350,589,199
351,993,199
352,1382,199
353,1074,199
354,589,199
355,749,199
356,1382,199
357,993,199
358,1074,199
359,589,199
360,749,199
361,1382,199
362,993,199
363,1074,199
364,589,199
365,1382,199
366,749,199
367,993,199
368,1074,199
369,589,199
370,1382,199
371,749,199
372,589,199
373,993,199
374,1074,199
375,199,1001
376,712,199
377,199,372
378,199,989
379,199,1175
380,199,569
381,234,199
382,199,988
383,199,1008
384,199,589
385,1001,199
386,1526,199
387,199,1260
388,199,977
389,199,1375
390,199,763
391,199,649
392,199,749
393,988,199
394,372,199
395,989,199
396,199,1382
397,1175,199
398,199,1074
399,1008,199
400,569,199
401,199,993
402,977,199
403,1260,199
404,763,199
405,199,712
406,649,199
407,1375,199
408,712,199
409,199,1526
410,199,589
411,199,234
412,199,1001
413,199,372
414,199,1175
415,199,988
416,199,989
417,199,977
418,199,763
419,199,1382
420,234,199
421,199,649
422,199,1008
423,1526,199
424,199,569
425,1001,199
426,199,1260
427,199,749
428,199,993
429,199,1375
430,199,712
431,763,199
432,988,199
433,1175,199
434,372,199
435,977,199
436,199,589
437,649,199
438,1375,199
439,569,199
440,989,199
441,1260,199
442,712,199
443,199,1526
444,199,234
445,199,1382
446,199,1001
447,1526,199
448,199,763
449,199,749
450,989,199
451,1175,199
452,1001,199
453,372,199
454,199,993
455,199,977
456,199,763
457,199,649
458,199,1375
459,977,199
460,199,1260
461,763,199
462,649,199
463,199,1074
464,199,988
465,199,569
466,199,1008
467,199,234
468,1375,199
469,1260,199
470,569,199
471,988,199
472,1008,199
473,199,1526
474,234,199
475,199,712
476,199,749
477,1526,199
478,199,1175
479,712,199
480,199,372
481,199,989
482,199,1001
483,1175,199
484,199,993
485,199,763
486,372,199
487,199,977
488,199,649
489,989,199
490,649,199
491,1001,199
492,199,1074
493,199,1375
494,977,199
495,199,1260
496,763,199
497,199,569
498,199,988
499,199,1008
500,1375,199
501,199,234
502,199,1526
503,199,712
504,569,199
505,1260,199
506,988,199
507,199,749
508,199,1175
509,1526,199
510,1008,199
511,234,199
512,712,199
513,199,372
514,1175,199
515,372,199
516,199,993
517,199,989
518,199,649
519,199,977
520,199,763
521,199,1001
522,989,199
523,649,199
524,199,1074
525,1001,1264
526,1001,87
527,1001,502
528,1001,1264
529,1001,252
530,1001,827
531,1001,1178
532,1001,252
533,1001,357
534,1001,267
535,1001,61
536,1001,1318
537,1001,1284
538,1001,66
539,1001,283
540,1001,283
541,1001,30
542,1001,603
543,1001,1151
544,1001,479
545,1001,1111
546,1001,341
547,1001,1134
548,1001,1402
549,1001,1411
550,1001,1429
551,1001,66
552,1001,601
553,1001,81
554,1001,1318
555,1001,366
556,1001,1436
557,1001,289
558,1001,645
559,1001,283
560,1001,283
561,1001,716
562,1001,22
563,1001,1542
564,1001,603
565,1001,603
566,1001,835
567,1001,69
568,1001,1014
569,1001,462
570,1001,1239
571,1001,147
572,1001,687
573,1001,1367
574,1001,283
575,1001,916
576,1001,687
577,1001,1318
578,1001,283
579,1001,996
580,1001,295
581,1001,927
582,1001,1416
583,1001,358
584,1001,344
585,1001,603
586,1001,1433
587,1001,1264
588,1001,224
589,1001,1022
590,1001,1098
591,1001,283
592,1001,1273
593,1001,1213
594,1001,1198
595,1001,1477
596,1001,1273
597,1001,594
598,1001,603
599,1001,450
600,199,1375
601,199,1008
602,569,199
603,977,199
604,763,199
605,1001,199
606,1526,199
607,199,989
608,712,199
609,372,199
610,199,1175
611,1375,199
612,1008,199
613,989,199
614,199,649
615,1175,199
616,199,1074
617,199,749
618,199,234
619,199,988
620,199,993
621,199,1260
622,199,977
623,199,763
624,649,199
625,988,199
626,199,569
627,199,1526
628,199,1001
629,234,199
630,1260,199
631,199,372
632,199,712
633,569,199
634,977,199
635,199,1375
636,199,1175
637,199,1008
638,199,989
639,763,199
640,1001,199
641,372,199
642,1526,199
643,199,649
644,763,199
645,1175,199
646,199,763
647,199,1175
648,199,749
649,649,199
650,199,649
651,712,199
652,199,1074
